0,0.0
1,2.0
2,33.0
3,160.0
4,236.0
5,422.0
6,1108.0
7,1766.0
8,3023.0
9,4715.0
10,6161.0
11,7222.0
12,8176.0
13,8329.0
14,8521.0
15,8571.0
16,8240.0
17,7981.0
18,7552.0
19,6922.0
20,6374.0
21,5740.0
22,5141.0
23,4394.0
24,3833.0
25,3247.0
26,2570.0
27,1999.0
28,1452.0
29,1122.0
30,729.0
31,455.0
32,283.0
33,160.0
34,84.0
35,48.0
36,15.0
37,7.0
38,5.0
39,0.0
40,2.0
41,5.0
42,1.0
43,1.0
44,1.0
45,1.0
46,0.0
47,0.0
48,0.0
49,0.0
50,1.0
51,0.0
52,0.0
53,0.0
54,2.0
55,1.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
1268.13
