2.0, 0.0, 0.0; 3
-5.0, -2.0, -5.0; 1
-3.0, -2.0, -5.0; 1
-6.0, -5.0, -1.0; 1
0.0, 3.0, -1.0; 1
-2.0, -5.0, -1.0; 1
1.0, 1.0, 0.0; 1
2.0, 1.0, 0.0; 2
-4.0, 2.0, -2.0; 1
-2.0, -1.0, -5.0; 1
-3.0, -4.0, -1.0; 772
-2.0, -4.0, -1.0; 841
-1.0, -4.0, -1.0; 9
-1.0, 5.0, -4.0; 1
-3.0, 2.0, 0.0; 16
0.0, 2.0, 0.0; 2
-5.0, -3.0, -1.0; 1
-4.0, -3.0, -1.0; 4
-3.0, -3.0, -1.0; 3628
-2.0, -3.0, -1.0; 3
-3.0, 3.0, 0.0; 96
-2.0, 3.0, 0.0; 527
-1.0, 3.0, 0.0; 4
0.0, 3.0, 0.0; 1
-7.0, -2.0, -1.0; 1
-5.0, -2.0, -1.0; 1
0.0, -3.0, 8.0; 1
-3.0, -2.0, -1.0; 2
-2.0, -2.0, -1.0; 1
1.0, -2.0, -1.0; 1
2.0, -2.0, -1.0; 1
2.0, -1.0, -1.0; 2
0.0, -4.0, 6.0; 1
-2.0, 5.0, 0.0; 1
-6.0, 0.0, -1.0; 1
-5.0, 0.0, -1.0; 1
-4.0, 0.0, -1.0; 1
2.0, 0.0, -1.0; 3
-2.0, 6.0, 0.0; 1
0.0, 6.0, 0.0; 1
-1.0, -5.0, -2.0; 3
-6.0, 1.0, -1.0; 12
2.0, 1.0, -1.0; 1
-2.0, 7.0, 0.0; 1
-4.0, -4.0, -2.0; 2
-3.0, -4.0, -2.0; 3
-2.0, -4.0, -2.0; 16
-1.0, -4.0, -2.0; 8
-4.0, 2.0, -1.0; 1
-3.0, 2.0, -1.0; 163
-2.0, 2.0, -1.0; 1
-1.0, 2.0, -1.0; 3
0.0, 2.0, -1.0; 1
1.0, 2.0, -1.0; 1
-5.0, -3.0, -2.0; 1
-4.0, -3.0, -2.0; 2
-3.0, -3.0, -2.0; 142
-2.0, -3.0, -2.0; 6
-1.0, -3.0, -2.0; 1
-2.0, -6.0, 2.0; 1
-3.0, 3.0, -1.0; 23
-2.0, 3.0, -1.0; 757
-1.0, 3.0, -1.0; 228
-3.0, 6.0, 1.0; 1
-1.0, 0.0, 3.0; 3
-5.0, -2.0, -2.0; 1
-4.0, -2.0, -2.0; 1
-3.0, -2.0, -2.0; 1
-4.0, -5.0, 2.0; 1
-4.0, -5.0, 1.0; 1
-5.0, -1.0, -2.0; 1
-4.0, -1.0, -2.0; 1
-3.0, -1.0, -2.0; 1
-2.0, 6.0, 1.0; 1
1.0, -1.0, -2.0; 1
2.0, -1.0, -2.0; 1
1.0, -3.0, -7.0; 1
-5.0, 0.0, -2.0; 2
1.0, 0.0, -2.0; 5
-4.0, 4.0, -6.0; 1
-6.0, 1.0, -2.0; 2
-5.0, 1.0, -2.0; 1
-4.0, 1.0, -2.0; 1
-3.0, 1.0, -2.0; 3
0.0, 1.0, -2.0; 1
1.0, 1.0, -2.0; 5
-3.0, -4.0, -3.0; 1
-2.0, -4.0, -3.0; 12
-1.0, -4.0, -3.0; 3
-4.0, -7.0, 1.0; 1
0.0, -7.0, 1.0; 2
-3.0, 2.0, -2.0; 385
1.0, 2.0, -2.0; 1
0.0, -1.0, 2.0; 1
1.0, -1.0, 2.0; 1
-4.0, -3.0, -3.0; 1
-3.0, -3.0, -3.0; 4
-2.0, -3.0, -3.0; 112
-5.0, -6.0, 1.0; 1
-4.0, -6.0, 1.0; 1
-1.0, -6.0, 1.0; 1
-1.0, 3.0, -2.0; 19
0.0, 3.0, -2.0; 2
0.0, 0.0, 2.0; 1
-4.0, -2.0, -3.0; 3
0.0, -2.0, -3.0; 1
-1.0, 1.0, 2.0; 1
-4.0, -1.0, -3.0; 3
-2.0, -1.0, -6.0; 2
-4.0, 2.0, 2.0; 1
1.0, 5.0, -2.0; 1
-7.0, 5.0, -5.0; 1
-2.0, -5.0, -4.0; 1
0.0, -5.0, -4.0; 2
-3.0, 1.0, -3.0; 10
-4.0, -2.0, 1.0; 1
-2.0, -2.0, 1.0; 1
8.0, 4.0, 1.0; 1
-3.0, 2.0, -3.0; 696
-2.0, 2.0, -3.0; 2890
-1.0, 2.0, -3.0; 11
-3.0, -1.0, 1.0; 1
1.0, -1.0, 1.0; 1
-5.0, -3.0, -4.0; 1
-3.0, -3.0, -4.0; 1
-2.0, -3.0, -4.0; 2
-1.0, 3.0, -3.0; 5
-4.0, -2.0, -4.0; 1
-6.0, -5.0, 0.0; 1
-1.0, -2.0, -4.0; 1
-2.0, -5.0, 0.0; 1
-2.0, 1.0, 1.0; 2
-1.0, 1.0, 1.0; 1
0.0, 1.0, 1.0; 1
-2.0, 6.0, 5.0; 1
2.0, 1.0, 1.0; 1
-4.0, -1.0, -4.0; 1
-4.0, -4.0, 0.0; 1
-3.0, -4.0, 0.0; 4
-2.0, -4.0, 0.0; 2
-1.0, 5.0, -3.0; 1
-1.0, 2.0, 1.0; 4
0.0, 2.0, 1.0; 2
1.0, 2.0, 1.0; 1
2.0, 2.0, 1.0; 1
-3.0, -3.0, 0.0; 1
-2.0, -3.0, 0.0; 1
-1.0, -3.0, 0.0; 1
0.0, -3.0, 0.0; 1
-1.0, 3.0, 1.0; 1
-6.0, 1.0, -4.0; 1
-5.0, -2.0, 0.0; 1
-3.0, -2.0, 0.0; 1
-2.0, -2.0, 0.0; 1
-2.0, -4.0, -5.0; 1
1.0, 1.0, 1.0; 3
-1.0, -7.0, -1.0; 1
-3.0, 2.0, -4.0; 1
-5.0, -1.0, 0.0; 2
-4.0, -1.0, 0.0; 1
2.0, -1.0, 0.0; 2
-3.0, -3.0, -5.0; 3
-2.0, -3.0, -5.0; 5
-1.0, -3.0, -5.0; 1
1.0, -3.0, -5.0; 1
-6.0, 0.0, 0.0; 1
2.0, -6.0, 2.0; 1
1.0
69.4431137725
