2.0, 0.0, 0.0; 2
-3.0, -2.0, -5.0; 1
-1.0, 6.0, 1.0; 1
-3.0, -5.0, -1.0; 2
-1.0, 0.0, 9.0; 1
1.0, 1.0, 0.0; 5
-3.0, -4.0, -1.0; 1362
-2.0, -4.0, -1.0; 2418
-1.0, -4.0, -1.0; 4
-5.0, 2.0, 0.0; 1
-3.0, 2.0, 0.0; 42
0.0, 2.0, 0.0; 2
1.0, 2.0, 0.0; 1
-3.0, -3.0, -1.0; 2602
-2.0, -3.0, -1.0; 1
-3.0, 3.0, 0.0; 359
-2.0, 3.0, 0.0; 2287
-1.0, 3.0, 0.0; 3
-5.0, -2.0, -1.0; 1
-3.0, -2.0, -1.0; 1
-2.0, -2.0, -1.0; 5
-1.0, 4.0, 0.0; 3
-1.0, 6.0, 0.0; 1
-1.0, 4.0, -1.0; 2
-6.0, 1.0, -1.0; 6
1.0, 1.0, -1.0; 3
-4.0, -4.0, -2.0; 1
-3.0, -4.0, -2.0; 1
-2.0, -4.0, -2.0; 6
-1.0, -4.0, -2.0; 2
-1.0, 1.0, 8.0; 1
-3.0, 2.0, -1.0; 65
-2.0, 2.0, -1.0; 1
-1.0, 2.0, -1.0; 1
-4.0, -3.0, -2.0; 1
-3.0, -3.0, -2.0; 66
-2.0, -3.0, -2.0; 4
-3.0, -6.0, 2.0; 1
-3.0, 3.0, -1.0; 79
-2.0, 3.0, -1.0; 1094
-1.0, 3.0, -1.0; 195
0.0, -6.0, 4.0; 1
-4.0, -2.0, -2.0; 2
-5.0, -5.0, 2.0; 1
-8.0, -1.0, 1.0; 1
-3.0, 4.0, -1.0; 1
-2.0, 4.0, -1.0; 1
-3.0, 2.0, -3.0; 348
-5.0, -4.0, 2.0; 1
3.0, -4.0, 2.0; 1
0.0, 5.0, -1.0; 1
1.0, 5.0, -1.0; 1
2.0, 5.0, -1.0; 1
-1.0, -9.0, 1.0; 1
-1.0, 6.0, -1.0; 1
0.0, 6.0, -1.0; 1
4.0, 6.0, -1.0; 1
-6.0, 1.0, -2.0; 1
-3.0, 1.0, -2.0; 2
1.0, 1.0, -2.0; 2
-1.0, 7.0, -1.0; 1
-3.0, -4.0, -3.0; 1
-2.0, -4.0, -3.0; 2
-4.0, -7.0, 1.0; 1
-6.0, 2.0, -2.0; 1
-4.0, 2.0, -2.0; 1
-3.0, 2.0, -2.0; 138
0.0, 2.0, -2.0; 1
-2.0, -3.0, -3.0; 16
-1.0, 3.0, -2.0; 3
0.0, 0.0, 2.0; 1
-4.0, -2.0, -3.0; 2
-4.0, 1.0, 2.0; 1
-4.0, -1.0, -3.0; 1
-1.0, 5.0, -2.0; 1
-5.0, 0.0, -3.0; 1
-2.0, 6.0, -2.0; 1
-1.0, 6.0, -2.0; 1
-3.0, 1.0, -3.0; 2
1.0, 1.0, -3.0; 1
6.0, -1.0, -8.0; 1
-1.0, -7.0, 0.0; 5
0.0, -7.0, 0.0; 2
1.0, -7.0, 0.0; 1
-2.0, 2.0, -3.0; 1897
-1.0, 2.0, -3.0; 5
1.0, 2.0, -3.0; 1
-4.0, -3.0, -4.0; 1
-1.0, -6.0, 0.0; 1
-1.0, 3.0, -3.0; 2
1.0, 0.0, 1.0; 3
2.0, 0.0, 1.0; 1
2.0, -5.0, 0.0; 1
-1.0, 1.0, 1.0; 2
0.0, 1.0, 1.0; 1
1.0, 1.0, 1.0; 1
-4.0, -4.0, 0.0; 1
1.0, 5.0, -3.0; 1
-1.0, 2.0, 1.0; 1
0.0, 2.0, 1.0; 1
-4.0, -3.0, 0.0; 1
-2.0, -3.0, 0.0; 2
-1.0, -3.0, 0.0; 2
0.0, 6.0, -3.0; 1
-6.0, 1.0, -4.0; 1
-2.0, -2.0, 0.0; 3
-1.0, -4.0, -6.0; 1
-2.0, -7.0, -1.0; 1
0.0, -7.0, -1.0; 1
1.0, -7.0, -1.0; 1
-3.0, -3.0, -5.0; 4
-2.0, -3.0, -5.0; 2
1.0
117.223214286
