-3.0, -2.0, -5.0; 1
0.0, 3.0, 5.0; 1
0.0, 4.0, -4.0; 1
-9.0, -1.0, -5.0; 1
-3.0, -4.0, -1.0; 519
-2.0, -4.0, -1.0; 630
-1.0, -4.0, -1.0; 220
-6.0, 2.0, 0.0; 2
0.0, 5.0, -4.0; 5
-3.0, 2.0, 0.0; 2
0.0, 2.0, 0.0; 1
1.0, 2.0, 0.0; 2
-5.0, 8.0, 1.0; 1
-3.0, -3.0, -1.0; 1731
-1.0, -3.0, -1.0; 4
0.0, -3.0, -1.0; 1
1.0, -3.0, -1.0; 4
-3.0, 3.0, 0.0; 22
-2.0, 3.0, 0.0; 165
-1.0, 3.0, 0.0; 6
0.0, 3.0, 0.0; 2
-3.0, -2.0, -1.0; 1
-2.0, -2.0, -1.0; 13
4.0, -2.0, -5.0; 1
-1.0, 4.0, 0.0; 1
-6.0, 2.0, -5.0; 1
0.0, -7.0, -2.0; 1
1.0, -7.0, -2.0; 1
-4.0, -1.0, -1.0; 2
-5.0, 0.0, 1.0; 1
2.0, -2.0, -2.0; 1
-4.0, 5.0, 0.0; 3
-3.0, 5.0, 0.0; 1
-2.0, -3.0, -6.0; 1
-3.0, 0.0, -1.0; 1
-5.0, -6.0, 1.0; 1
6.0, 0.0, -1.0; 1
-6.0, 1.0, -1.0; 6
2.0, 1.0, -1.0; 1
-2.0, 4.0, -5.0; 1
-2.0, -4.0, -2.0; 154
-1.0, -4.0, -2.0; 1413
0.0, -4.0, -2.0; 1
0.0, 6.0, -6.0; 1
-5.0, 2.0, -1.0; 3
-4.0, 2.0, -1.0; 5
-3.0, 2.0, -1.0; 165
4.0, -7.0, 2.0; 1
-6.0, -4.0, 7.0; 1
-3.0, -3.0, -2.0; 86
-2.0, -3.0, -2.0; 28
-1.0, -3.0, -2.0; 2
-3.0, -6.0, 2.0; 1
-4.0, 3.0, -1.0; 7
-3.0, 3.0, -1.0; 19
-2.0, 3.0, -1.0; 344
-1.0, 3.0, -1.0; 1161
0.0, 3.0, -1.0; 1
1.0, -1.0, -5.0; 1
-2.0, 1.0, -6.0; 1
-1.0, -2.0, -2.0; 28
-6.0, 4.0, -1.0; 1
-5.0, 4.0, -1.0; 1
0.0, 4.0, -1.0; 4
-5.0, -1.0, -2.0; 1
-4.0, 5.0, -1.0; 2
2.0, 0.0, -2.0; 1
-2.0, 6.0, -1.0; 1
-6.0, 1.0, -2.0; 2
-5.0, 1.0, -2.0; 2
-4.0, 1.0, -2.0; 2
-3.0, 1.0, -2.0; 7
1.0, 1.0, -2.0; 2
2.0, 1.0, -2.0; 1
-2.0, -4.0, -3.0; 292
-1.0, -4.0, -3.0; 447
-5.0, 2.0, -2.0; 1
-4.0, 2.0, -2.0; 21
-3.0, 2.0, -2.0; 2237
-2.0, 2.0, -2.0; 2
0.0, 2.0, -2.0; 1
1.0, 2.0, -2.0; 2
0.0, -1.0, 2.0; 1
-5.0, 2.0, 1.0; 1
-3.0, -3.0, -3.0; 2
-2.0, -3.0, -3.0; 1334
-1.0, -3.0, -3.0; 54
-4.0, -6.0, 1.0; 2
-1.0, -6.0, 1.0; 1
-4.0, 3.0, -2.0; 1
-3.0, 3.0, -2.0; 2
-2.0, 3.0, -2.0; 2
-1.0, 3.0, -2.0; 394
0.0, 3.0, -2.0; 5
-2.0, -2.0, -3.0; 1
-5.0, -5.0, 1.0; 1
-4.0, -5.0, 1.0; 1
-3.0, -5.0, 1.0; 2
-3.0, 4.0, -2.0; 1
-1.0, 4.0, -2.0; 5
0.0, 4.0, -2.0; 6
1.0, 1.0, 2.0; 1
-2.0, -1.0, -3.0; 1
-1.0, -5.0, -9.0; 1
-4.0, 2.0, 2.0; 1
-7.0, 3.0, -7.0; 1
-4.0, -1.0, 6.0; 1
-3.0, -5.0, -5.0; 1
-1.0, -3.0, 1.0; 3
0.0, -3.0, 1.0; 1
0.0, 6.0, -2.0; 1
1.0, -5.0, -4.0; 1
-4.0, 1.0, -3.0; 1
-3.0, 1.0, -3.0; 5
-5.0, -2.0, 1.0; 1
-3.0, -2.0, 1.0; 2
0.0, 4.0, 2.0; 1
-4.0, 2.0, -3.0; 1
